U101923894000154023600713     400416        SANTO ANTONIO ALUMINIO LTDA                       
P20192389400015408625         GERDAU BARRA CHATA 1.1/4 X 1/4                    PC    ATT1700000000004640
P20192389400015408626         ACO CEARENSE TUBO INDUSTRIAL 3/4 - 1.50           M     ATT1700000000000285
P20192389400015408627         ACO CEARENSE CHAPA GALVANIZADA 22 2 X 1           PC    ATT1700000000007070
P20192389400015408628         ACO CEARENSE CHAPA PRETA 14 2 X1.00               PC    ATT1700000000014699
P20192389400015408629         ACO CEARENSE CHAPA ROLO 28 40CM                   KG    ATT1700000000000620
P20192389400015408630         ACO CEARENSE CHAPA ROLO 28 50CM                   KG    ATT1700000000000605
P20192389400015408631         ACO CEARENSE CHAPA ROLO 28 60CM                   KG    ATT1700000000000605
P20192389400015408632         ACO CEARENSE PERFIL U 2 X 2.00MM                  M     ATT1700000000000685
P20192389400015408633         ACO CEARENSE PERFIL U 3 X 2.00MM                  M     ATT1700000000001030
P20192389400015408634         AGROLAR ZARCAO ZARCOTEX VERMELHO LATA 1/4         UNI   ATF0000000000001240
P20192389400015408635         GERDAU BARRA REDONDA 3/4 6MT                      PC    ATT1700000000005610
P20192389400015408636         GERDAU BARRA REDONDA 5/8                          PC    ATT1700000000004980
P20192389400015408638         ACO CEARENSE TUBO INDUSTRIAL 1 X 1.20             M     ATT1700000000000425
P20192389400015408639         ACO CEARENSE TUBO INDUSTRIAL 1.1/4 X 1.20         M     ATT1700000000000490
P20192389400015408640         ACO CEARENSE CHAPA ROLO 28 70CM                   KG    ATT1700000000000605
P20192389400015408641         ACO CEARENSE CHAPA ROLO 28 80CM                   KG    ATT1700000000000605
P20192389400015408642         AGROLAR BOBINA C/MOLA 5.00 MTS 45                 PC    ATF0000000000005999
P20192389400015408643         GERDAU BARRA REDONDA 1                            PC    ATT1700000000011860
P20192389400015408644         PERFIL VEDABOX F003 BAGUETE L-25                  PC    ATT1700000000000180
P20192389400015408645         CBA PERFIL AL LIGA 6060 N-0833                    M     ATT1700000000000550
P20192389400015408646         CBA CHAPA XADREZ 2000X1000X1.20 1200 H154         PC    ATT1700000000025450
P20192389400015408647         GERDAU PREGO CC 18X27 - 2.1/2 X 10 CAIBA          KG    ATF0000000000000850
P20192389400015408649         CBA PERFIL AL LIGA 6060 N-0620                    M     ATT1700000000001150
P20192389400015408655         PORCA 1/4 ALUMINIO                                UNI   ATT1700000000000009
P20192389400015408656         PARAFUSO ALUMINIO 25                              PC    ATF0000000000000055
P20192389400015408657         CAVALETE P/ BOX SITEMA BX                         PC    ATT1700000000000050
P20192389400015408658         PUXADOR P/ BOX                                    PC    ATT1700000000000050
P20192389400015408659         SUPORTE PORTA TOALHA P/BOX                        PC    ATT1700000000000050
P20192389400015408660         PROMEL ROLDANA S/ CAVALETE 225                    PC    ATT1700000000000040
P20192389400015408662         ALCOA FREIO S/ REGULAGEM (PATINHO S/ FREIO)       PC    ATT0000000000000180
P20192389400015408663         ALCOA FREIO C/ REGULAGEM (PATINHO C/ FREIO)       PC    ATT1700000000000150
P20192389400015408665         LANCA ALUMINIO                                    PC    ATT1700000000000130
P20192389400015408668         CBA PERFIL AL LIGA 6060 N-1088/TRILHO             M     ATT1700000000000180
P20192389400015408671         GERDAU COLUNA ACO 1/4 6MTS                        PC    ATF0000000000010080
P20192389400015408673         STAM FECHADURA 603/03 INOX GORJE                  UN    ATF0000000000004999
P20192389400015408677         PARAFUSO FRANCE 3 X 5/16                          UN    ATF0000000000000055
P20192389400015408678         PARAFUSO 5/16X2.1/2                               UN    ATF0000000000000045
P20192389400015408680         PROMEL ROLDANA JANELA S/25 225                    PC    ATT1700000000000050
P20192389400015408333         POTI CIMENTO                                      UN    ATT1700000000002050
P20192389400015408310         EUCATEX 3.6                                       GL    ATT1700000000002660
P20192389400015408313         ESCOVA DE VEDAÇAO 5X6 PRETA/CHELEGUEU             M     ATT1700000000000070
P20192389400015408324         NASSAU CIMENTO                                    UN    ATT1700000000002000
P20192389400015408325         PARAFUSO FRANCE 2 C/PORCA                         PC    ATF0000000000000030
P20192389400015408326         PARAFUSO FRANCE 2.1/2                             PC    ATF0000000000000028
P20192389400015408327         PARAFUSO FRANCE 3 C/PORCA                         PC    ATF0000000000000033
P20192389400015408328         PARAFUSO FRANCE 3.1/2 C/PORCA                     PC    ATF0000000000000038
P20192389400015408329         PARAFUSO FRANCE 4 C/PORCA                         PC    ATF0000000000000038
P20192389400015408330         PARAFUSO FRANCE 5 C/PORCA                         PC    ATF0000000000000044
P20192389400015408684         GERDAU CHAPA LQ  5/16 8X1000X2000MM               PC    ATT1700000000059999
P20192389400015408349         BUCHA NYLON 06                                    UN    ATF0000000000000012
P20192389400015408390         BUCHA NYLON 08                                    UN    ATF0000000000000010
P20192389400015408394         BUCHA NYLON 10                                    UN    ATF0000000000000035
P20192389400015408396         BUCHA NYLON 12                                    UN    ATF0000000000000045
P20192389400015408200         GERDAU CANTONEIRA 2 X 1/4                         PC    ATT1700000000014699
P20192389400015408201         GERDAU PREGO CC 13X11-1X15                        KG    ATF0000000000000950
P20192389400015408202         GERDAU PREGO CC 15X27-2.1/2X13                    KG    ATF0000000000000940
P20192389400015408203         REBITOP REBITE 530                                UNI   ATF0000000000000012
P20192389400015408204         REBITOP REBITE 525                                UNI   ATF0000000000000012
P20192389400015408205         BOSCH DISCO CORTE 4.1/2                           PC    ATT1700000000000170
P20192389400015408206         BOSCH DISCO DESBASTE 4.1/2                        PC    ATT1700000000000200
P20192389400015408207         BOSCH DISCO DESBASTE 7                            PC    ATT1700000000000425
P20192389400015408208         BOSCH DISCO CORTE 7                               PC    ATT1700000000000300
P20192389400015408211         ALIANCA FECHO EMBUTIR 18CM                        PC    ATT1700000000000600
P20192389400015408212         PARAFUSO FENDA 2.1/2X10                           PC    ATF0000000000000012
P20192389400015408213         PARAFUSO ALTO ATARRACHANTE 1.1/2X10               PC    ATF0000000000000006
P20192389400015408217         TUPAN PLUG GALVANIZADO 1.1/2                      PC    ATT1700000000000280
P20192389400015408221         ALIANCA FECHO EMBUTIR 9CM                         PC    ATT1700000000000320
P20192389400015408224         CANTONEIRA DE NYLON BOX                           M     ATT1700000000000015
P20192389400015408240         METALIS CHAPA LISA EM ROLO 1.000 X 0.50 MM        KG    ATT1700000000002200
P20192389400015408241         TRENA STARRETT 3M                                 PC    ATT1700000000000750
P20192389400015408242         TRENA STARRETT 5M                                 PC    ATT1700000000001199
P20192389400015408244         PARAFUSO 1.1/2 X 7                                UN    ATF0000000000000003
P20192389400015408499         CBA PERFIL AL LIGA 6060 N-1363                    M     ATT1700000000001250
P20192389400015408245         ESMERIL REBOLO FINO 6 X 3/4                       PC    ATT1700000000000870
P20192389400015408250         PARAFUSO FENDA 1.1/2X10                           PC    ATF0000000000000010
P20192389400015408280         GERDAU PREGO CC 16X27 - 2.1/2 X 12                KG    ATF0000000000000930
P20192389400015408281         ACO CEARENSE PE DE PORTA PRETO 1.5                PC    ATT1700000000003130
P20192389400015408283         POLIEST AMAZONAS 098X180X002 CARAMELO             PC    ATT1700000000005550
P2019238940001548279          BANDEIRANTES TRINCO DE PISO 1335C                 UNI   ATF0000000000002980
P2019238940001548275          GERDAU CHAPA GALVANIZADA 22                       PC    ATT1700000000008700
P20192389400015408246         ALIANCA FECHADURA F1500 SOBREPOR                  UN    ATT1700000000003200
P20192389400015408247         GERDAU VERGALHAO 3.4 CA-50 KG                     KG    ATF0000000000000885
P20192389400015408249         CBA PERFIL AL LIGA 6060 N-1595/CANTO AZULEJO      M     ATT1700000000000270
P20192389400015408269         GERDAU ESTRIBO VERGALHAO ACO 4.2 7X22             PC    ATF0000000000000046
P20192389400015408100         ACO CEARENSE TUBO INDUSTRIAL 2 X 1.20 MM          M     ATT1700000000000780
P20192389400015408101         ACO CEARENSE PERFIL U 4 X 2.65MM                  M     ATT1700000000001640
P20192389400015408102         ACO CEARENSE PERFIL U 5 X 3.00MM                  M     ATT1700000000002800
P20192389400015408285         ACO CEARENSE CHAPA GALVANIZADA 30 2 X 1.20        PC    ATT1700000000003720
P20192389400015408286         ACO CEARENSE TUBO INDUSTRIAL 5/8 X 0.90           M     ATT1700000000000210
P20192389400015408106         ACO CEARENSE TUBO INDUSTRIAL 1 X 0.90             M     ATT1700000000000325
P20192389400015408107         ACO CEARENSE CHAPA PRETA 18 2 X 1.00              PC    ATT1700000000009120
P20192389400015408109         ITGN BOBINA P/ PORTA S/ MOLA                      PC    ATT1700000000000990
P20192389400015408110         LAMINACO PERFIL U 3X1.1/2 CH 4.25                 M     ATT1700000000002770
P20192389400015408111         ITGN TRILHO STANLEY 50X40                         PC    ATT1700000000008750
P20192389400015408113         PROMEL FECHADURA MAX PEQ C/PAR 618                UN    ATT1700000000000435
P20192389400015408114         PROMEL FECHADURA MAX PEQ C/PAR 618 PTO            UN    ATT1700000000000465
P20192389400015408115         PROMEL DOBRADICA ALUMINIO 50X35MM 800             PC    ATT1700000000000180
P20192389400015408116         PROMEL FECHADURA MAX GRD C/PAR 619                UN    ATT1700000000000600
P20192389400015408150         CBA PERFIL AL LIGA 6060 E-0663                    M     ATT1700000000000730
P20192389400015408152         ACO CEARENSE TUBO INDUSTRIAL 3 X 0.90             M     ATT1700000000000795
P20192389400015408153         ACO CEARENSE TUBO INDUSTRIAL 2.1/2 X 0.90         M     ATT1700000000000890
P20192389400015408154         ACO CEARENSE TUBO INDUSTRIAL 2 X 0.90             M     ATT1700000000000580
P20192389400015408155         ACO CEARENSE TUBO INDUSTRIAL 1.1/2 X 0.90         M     ATT1700000000000490
P20192389400015408156         ACO CEARENSE TUBO INDUSTRIAL 1.1/4 X 0.90         M     ATT1700000000000355
P20192389400015408157         ACO CEARENSE TUBO INDUSTRIAL 7/8 X 0.90           M     ATT1700000000000285
P20192389400015408158         FAMA FECHADURA 1253                               UN    ATT1700000000003700
P20192389400015408160         GERDAU BARRA CHATA 2.1/2 X 1/2                    M     ATT1700000000003340
P20192389400015408170         GERDAU BARRA CHATA 2 X 5/16                       M     ATT1700000000001895
P20192389400015408180         GEPETEC FURADEIRA P/ PORTA DE ENROLAR             PC    ATT1700000000020800
P20192389400015408181         GEPETEC JOGOS PUCAO E BUCHA P/ FURADEIRAS         JG    ATT1700000000001220
P20192389400015408182         GEPETEC REBITADOR P/ PORTA DE ENRROLAR            PC    ATT1700000000017399
P20192389400015408183         GEPETEC JOGOS PUNCAO E BUCHA P/ REBITADOR         JG    ATT1700000000001600
P20192389400015408184         GEPETEC ROLDANA ACO 2 V                           PC    ATT1700000000001830
P20192389400015408185         GEPETEC ROLDANA ACO 2.1/2 V                       PC    ATT1700000000001550
P20192389400015408186         GEPETEC ROLDANA ACO 80MM                          PC    ATT1700000000002300
P20192389400015408187         GEPETEC ROLDANA ACO 100MM                         PC    ATT1700000000001300
P20192389400015408188         GEPETEC ROLDANA ACO 50MM C/CAV.C/ROL.             PC    ATT1700000000001620
P20192389400015408189         GEPETEC ROLDANA ACO 2 C/CAV C/ROL                 PC    ATT1700000000001760
P20192389400015408190         GEPETEC ROLDANA ACO 3 V C/CAV                     PC    ATT1700000000002480
P20192389400015408191         GEPETEC ROLDANA ACO 1.1/2 V C/ROLAM               PC    ATT1700000000000935
P20192389400015408192         GEPETEC ESTANLEY ACO 2 RODAS 1.1/2                PC    ATT1700000000001520
P20192389400015408178         ACO CEARENSE PERFIL ENR 5 X 3,00 5MM              PC    ATT1700000000017600
P20192389400015408179         ACO CEARENSE CHAPA ROLO 28 1MT                    KG    ATT1700000000000605
P20192389400015408195         GERDAU CANTONEIRA 2.1/2 X 3/16                    PC    ATT1700000000024900
P20192389400015408171         CHAPA ROLO 1200 H14 400X0.50/CBA                  KG    ATT1700000000002525
P20192389400015408172         LAMINACO PERFIL U 6X2 4.25                        M     ATT1700000000003000
P20192389400015408173         LAMINACO PERFIL U 5X2 4.25                        M     ATT1700000000002600
P20192389400015408175         POLIEST MONOCRIL 098 X 180 X 02 OURO              PC    ATT1700000000005550
P20192389400015408176         POLIEST ESTRELADA 098 X 180 X 002 OURO            PC    ATT1700000000005550
P20192389400015408141         PROMEL GUIA DESLIZANTE NYL 034                    PC    ATT1700000000000005
P20192389400015408142         PROMEL PARAFUSO NYL 083                           PC    ATF0000000000000007
