U169915536000133018911978     4650          JUAREZ DE OLIVEIRA ME                             
P269915536000133364           CORREIA A-75                                      UNI   ATT1700000000001070
P269915536000133365           CORREIA A-76                                      UNI   ATT1700000000001070
P269915536000133366           CORREIA A-77                                      UNI   ATT1700000000001200
P269915536000133367           CORREIA A-78                                      UNI   ATT1700000000001200
P269915536000133368           CORREIA A-79                                      UNI   ATT1700000000001250
P269915536000133369           CORREIA A-80                                      UNI   ATT1700000000001180
P269915536000133372           CORREIA A-84                                      UNI   ATT1700000000001300
P269915536000133373           CORREIA A-85                                      UNI   ATT1700000000001265
P269915536000133374           CORREIA A-86                                      UNI   ATT1700000000001300
P269915536000133375           CORREIA A-87                                      UNI   ATT1700000000001280
P269915536000133376           PRESSOSTATO PSI 80-120                            UNI   ATF0000000000007800
P269915536000133377           CORREIA A-88                                      UNI   ATT1700000000001350
P269915536000133378           CORREIA A-89                                      UNI   ATT1700000000001280
P269915536000133379           MONOMETRO KING 0 A 150 PSI                        UNI   ATT1700000000003500
P269915536000133380           CORREIA A-90                                      UNI   ATT1700000000001350
P269915536000133381           CORREIA A-91                                      UNI   ATT1700000000001350
P269915536000133382           LUVA C/ REDUÇÃO FEM/MACH 4 X 2.1/2  FERRO FL      UNI   ATT1700000000005000
P269915536000133383           LUVA C/ REDUÇÃO FEM/MACH 3 X 2  FERRO FL          UNI   ATT1700000000003800
P269915536000133384           CORREIA A-92                                      UNI   ATT1700000000001400
P269915536000133385           LUVA C/ REDUÇÃO FEM/MACH 3 X 1.1/2  FERRO FL      UNI   ATT1700000000003600
P269915536000133386           CORREIA A-93                                      UNI   ATT1700000000001400
P269915536000133387           LUVA C/ REDUÇÃO FEM/MACH 3 X 1.1/4  FERRO FL      UNI   ATT1700000000003500
P269915536000133388           CORREIA A-94                                      UNI   ATT1700000000001400
P269915536000133389           LUVA C/ REDUÇÃO FEM/MACH 3 X 1  FERRO FL          UNI   ATT1700000000003300
P269915536000133390           CORREIA A-95                                      UNI   ATT1700000000001435
P269915536000133391           LUVA C/ REDUÇÃO FEM/MACH 2 X 2.1/2  FERRO         UNI   ATT1700000000002600
P269915536000133392           CORREIA A-96                                      UNI   ATT1700000000001440
P269915536000133393           LUVA C/ REDUÇÃO FEM/MACH 2 X 1.1/4  FERRO         UNI   ATT1700000000002300
P269915536000133394           CORREIA A-97                                      UNI   ATT1700000000001440
P269915536000133395           CORREIA A-98                                      UNI   ATT1700000000001440
P269915536000133396           LUVA C/ REDUÇÃO FEM/MACH 2 X 1  FERRO FL          UNI   ATT1700000000001700
P269915536000133397           CORREIA A-99                                      UNI   ATT1700000000001440
P269915536000133398           LUVA C/ REDUÇÃO FEM/MACH 1.1/2 X 1.1/4 FERRO FL   UNI   ATT1700000000001800
P2699155360001334039          REBOBINAMENTO 1.5 HP TRIF                         UNI   ATT1700000000026800
P269915536000133399           LUVA C/ REDUÇÃO FEM/MACH 1. X 1.1/2  FERRO FL     UNI   ATT1700000000001300
P269915536000133400           CORREIA A-100                                     UNI   ATT1700000000001670
P269915536000133401           CORREIA A-101                                     UNI   ATT1700000000001670
P269915536000133402           LUVA C/ REDUÇÃO FEM/MACH 1 X 1.1/4 FERRO FL       UNI   ATT1700000000001100
P269915536000133403           LUVA C/ REDUÇÃO FEM/MACH 1 X 3/4  FERRO           UNI   ATT1700000000000900
P269915536000133404           CORREIA A-102                                     UNI   ATT1700000000001670
P269915536000133405           CORREIA A-103                                     UNI   ATT1700000000001670
P269915536000133406           NIPLE C/ REDUÇÃO P/ MANG 4" X 3" -  F. LOPES      UNI   ATT1700000000004600
P2699155360001331845          MANGOTE AZUL 1 KANAFLEX                           M     ATF0000000000000910
P269915536000133407           CORREIA A-104                                     UNI   ATT1700000000001670
P269915536000133408           NIPLE C/ REDUÇÃO P/ MANG 3 X 2.1/2"   F - LOPES   UNI   ATT1700000000002550
P269915536000133409           CORREIA A-105                                     UNI   ATT1700000000001690
P269915536000133410           NIPLE ROSC 1.1/2" AMANCO                          UNI   ATF0000000000000500
P269915536000133411           CORREIA A-106                                     UNI   ATT1700000000001690
P269915536000133412           CORREIA A-107                                     UNI   ATT1700000000001690
P269915536000133413           NIPLE C/ REDUÇÃO P/ MANG 3" X1.1/2"    F  -  LOPESUNI   ATT1700000000002600
P269915536000133414           CORREIA A-108                                     UNI   ATT1700000000001690
P269915536000133415           CORREIA A-109                                     UNI   ATT1700000000001690
P269915536000133416           CORREIA A-110                                     UNI   ATT1700000000001840
P269915536000133417           NIPLE C/ REDUÇÃO P/ MANG 2.1/2"X1.1/2"   F - LOPESUNI   ATT1700000000001850
P269915536000133418           CORREIA A-112                                     UNI   ATT1700000000001840
P269915536000133419           CORREIA A-113                                     UNI   ATT1700000000001840
P269915536000133420           NILPE C/ REDUÇÃO P/ MANG 2 X 1.1/2"  F -  LOPES   UNI   ATT1700000000002450
P269915536000133421           CORREIA A-114                                     UNI   ATT1700000000001840
P269915536000133422           NIPLE C/ REDUÇÃO P/ MANG 2 X 1.1/4"  F - LOPES    UNI   ATT1700000000001600
P269915536000133423           NIPLE C/ REDUÇÃO P/ MANG 2 X 1"  F - LOPES        UNI   ATT1700000000001600
P269915536000133424           NIPLE C/ REDUÇÃO P/MANG 1.1/2" X 1.1/4"  F - LOPESUNI   ATT1700000000001500
P269915536000133425           CORREIA B-21                                      UNI   ATT1700000000000770
P269915536000133426           CORREIA B-22                                      UNI   ATT1700000000000770
P269915536000133427           CORREIA B-23                                      UNI   ATT1700000000000770
P269915536000133428           CORREIA B-24                                      UNI   ATT1700000000000770
P269915536000133429           CORREIA B-25                                      UNI   ATT1700000000000770
P269915536000133430           NIPLE C/ REDUÇÃO P/ MANG 1.1/2" X 1"  F - LOPES   UNI   ATT1700000000001400
P269915536000133431           CORREIA B-26                                      UNI   ATT1700000000000770
P269915536000133432           NILPE C/ REDUÇÃO P/ MANG 1.1/4 X 1"  F - LOPES    UNI   ATT1700000000001600
P269915536000133433           CORREIA B-27                                      UNI   ATT1700000000000770
P269915536000133434           ADAPTADOR P/ MANGOTE 2.1/2 FERRO FL               UNI   ATT1700000000001250
P269915536000133435           ADAPTADOR P/ MANGOTE 3" FERRO                     UNI   ATT1700000000001550
P269915536000133436           CORREIA B-28                                      UNI   ATT1700000000000815
P269915536000133437           CORREIA B-29                                      UNI   ATT1700000000000815
P269915536000133438           CORREIA B-30                                      UNI   ATT1700000000000815
P269915536000133439           ADAPTADOR P/ MANGOTE COM FLANGE RED 3 X 2 FERRO   UNI   ATT1700000000002500
P269915536000133440           CORREIA B-31                                      UNI   ATT1700000000000815
P269915536000133441           CORREIA B-32                                      UNI   ATT1700000000000835
P269915536000133442           CORREIA B-33                                      UNI   ATT1700000000000858
P269915536000133443           CORREIA B-34                                      UNI   ATT1700000000000860
P269915536000133444           CONTRA FACA EC MINI CREMASCO                      UNI   ATT1700000000002500
P269915536000133445           CORREIA B-35                                      UNI   ATT1700000000000900
P269915536000133446           CORREIA B-36                                      UNI   ATT1700000000000885
P269915536000133447           CONTRA FACA TRAPP TRF -40-400                     UNI   ATT1700000000005000
P269915536000133448           CONTRA FACA DP-4/ CREMASCO                        UNI   ATT1700000000002500
P269915536000133449           CORREIA B-37                                      UNI   ATT1700000000000930
P269915536000133450           CORREIA B-38                                      UNI   ATT1700000000000935
P269915536000133451           CORREIA B-39                                      UNI   ATT1700000000000955
P269915536000133452           CORREIA B-40                                      UNI   ATT1700000000001050
P269915536000133453           CONTRA FACA EN 6100 NOGUEIRA                      UNI   ATT1700000000003900
P269915536000133454           CONTRA FACA JR/500 NOGUEIRA                       UNI   ATT1700000000003500
P269915536000133455           CONTRA FACA EN-9/6400 MOD NOVO NOGUEIRA           UNI   ATT1700000000004200
P269915536000133456           CONTRA FACA EN-12 MOD. NOVO NOGUEIRA              UNI   ATT1700000000004700
P269915536000133457           CORREIA B-41                                      UNI   ATT1700000000000990
P269915536000133458           CORREIA B-42                                      UNI   ATT1700000000001000
P269915536000133459           MARTELO MOVEL DPM-1                               UNI   ATT1700000000010800
P269915536000133460           CORREIA B-43                                      UNI   ATT1700000000001050
P269915536000133461           MARTELO MOVEL DPM-2                               UNI   ATT1700000000007000
P269915536000133462           CORREIA B-44                                      UNI   ATT1700000000001060
P269915536000133463           MARTELO MOVEL DPM-4                               UNI   ATT1700000000013000
P269915536000133464           CORREIA B-45                                      UNI   ATT1700000000001070
P269915536000133465           CORREIA B-46                                      UNI   ATT1700000000001150
P269915536000133466           CORREIA B-47                                      UNI   ATT1700000000001200
P269915536000133467           MARTELO FIXO DPM-JR                               UNI   ATT1700000000004500
P269915536000133468           CORREIA B-48                                      UNI   ATT1700000000001130
P269915536000133469           CORREIA B-49                                      UNI   ATT1700000000001250
